21
1.51898	13.58	3.35	1.23	72.08	0.59	8.91	0.0	0.0	1.0	
1.5232	13.72	3.72	0.51	71.75	0.09	10.06	0.0	0.16	1.0	
1.51926	13.2	3.33	1.28	72.36	0.6	9.14	0.0	0.11	1.0	
1.51808	13.43	2.87	1.19	72.84	0.55	9.03	0.0	0.0	1.0	
1.51837	13.14	2.84	1.28	72.85	0.55	9.07	0.0	0.0	1.0	
1.51778	13.21	2.81	1.29	72.98	0.51	9.02	0.0	0.09	1.0	
1.51769	12.45	2.71	1.29	73.7	0.56	9.06	0.0	0.24	1.0	
1.51872	12.93	3.66	1.56	72.51	0.58	8.55	0.0	0.12	2.0	
1.51667	12.94	3.61	1.26	72.75	0.56	8.6	0.0	0.0	2.0	
1.52081	13.78	2.28	1.43	71.99	0.49	9.85	0.0	0.17	2.0	
1.52068	13.55	2.09	1.67	72.18	0.53	9.57	0.27	0.17	2.0	
1.5202	13.98	1.35	1.63	71.76	0.39	10.56	0.0	0.18	2.0	
1.52177	13.75	1.01	1.36	72.19	0.33	11.14	0.0	0.0	2.0	
1.52614	13.7	0.0	1.36	71.24	0.19	13.44	0.0	0.1	2.0	
1.51832	13.33	3.34	1.54	72.14	0.56	8.99	0.0	0.0	3.0	
1.52043	13.38	0.0	1.4	72.25	0.33	12.5	0.0	0.0	5.0	
1.51916	14.15	0.0	2.09	72.74	0.0	10.88	0.0	0.0	6.0	
1.51969	14.56	0.0	0.56	73.48	0.0	11.22	0.0	0.0	6.0	
1.51115	17.38	0.0	0.34	75.41	0.0	6.65	0.0	0.0	6.0	
1.5164	14.37	0.0	2.74	72.85	0.0	9.45	0.54	0.0	7.0	
1.51623	14.14	0.0	2.88	72.61	0.08	9.18	1.06	0.0	7.0	
