21
1.51756	13.15	3.61	1.05	73.24	0.57	8.24	0.0	0.0	1.0	
1.51918	14.04	3.58	1.37	72.08	0.56	8.3	0.0	0.0	1.0	
1.51755	13.0	3.6	1.36	72.99	0.57	8.4	0.0	0.11	1.0	
1.51571	12.72	3.46	1.56	73.2	0.67	8.09	0.0	0.24	1.0	
1.51763	12.8	3.66	1.27	73.01	0.6	8.56	0.0	0.0	1.0	
1.51589	12.88	3.43	1.4	73.28	0.69	8.05	0.0	0.24	1.0	
1.51748	12.86	3.56	1.27	73.21	0.54	8.38	0.0	0.17	1.0	
1.51594	13.09	3.52	1.55	72.87	0.68	8.05	0.0	0.09	2.0	
1.51409	14.25	3.09	2.08	72.28	1.1	7.08	0.0	0.0	2.0	
1.51625	13.36	3.58	1.49	72.72	0.45	8.21	0.0	0.0	2.0	
1.51569	13.24	3.49	1.47	73.25	0.38	8.03	0.0	0.0	2.0	
1.51645	13.4	3.49	1.52	72.65	0.67	8.08	0.0	0.1	2.0	
1.51618	13.01	3.5	1.48	72.89	0.6	8.12	0.0	0.0	2.0	
1.5164	12.55	3.48	1.87	73.23	0.63	8.08	0.0	0.09	2.0	
1.51694	12.86	3.58	1.31	72.61	0.61	8.79	0.0	0.0	3.0	
1.51969	12.64	0.0	1.65	73.75	0.38	11.53	0.0	0.0	5.0	
1.51916	14.15	0.0	2.09	72.74	0.0	10.88	0.0	0.0	6.0	
1.51969	14.56	0.0	0.56	73.48	0.0	11.22	0.0	0.0	6.0	
1.51115	17.38	0.0	0.34	75.41	0.0	6.65	0.0	0.0	6.0	
1.51556	13.87	0.0	2.54	73.23	0.14	9.41	0.81	0.01	7.0	
1.51727	14.7	0.0	2.34	73.28	0.0	8.95	0.66	0.0	7.0	
